Department Name,Address Line 1,Address Zip Code,Clean Address Zip Code,Latitude,Longitude
X_10 UNION SQ E OB/GYN_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E OBGYN CLINIC_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E OCCUPATION PHYS_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E ORTHO JOINT_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E ORTHO SPINE_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E ORTHO SPORTS MED_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PEDS ALLERGY_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PEDS CARDIO_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PEDS ENDO_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PEDS GEN_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PEDS GI_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PEDS NEPHROLOGY_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PEDS PULM_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PFT_DEACTIVATED,"10 Union Square East,",10003,10003,40.7317,-73.9891
X_10 UNION SQ E PHYSICAL THERAPY_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PODIATRY CLINIC_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PODIATRY_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E PST_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E RESP_DEACTIVATED,"10 Union Square East,",10003,10003,40.7317,-73.9891
X_10 UNION SQ E RHEUMATOLOGY_DEACTIVATED,10 UNION SQ E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SOCIAL WORK_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SPEECH THERAPY_DEACTIVATED,10 UNION SQ E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SURG BREAST_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SURG COLORECTAL_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SURG GENERAL_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SURG ONCOLOGY_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SURG PLASTIC_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SURG VASCULAR LAB_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E SURG VASCULAR_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E THERAPEUTIC INFUSION_DEACTIVATED,10 Union Square E,10003,10003,40.7317,-73.9891
X_10 UNION SQ E UROLOGY_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ E VEIN CLINIC_DEACTIVATED,"10 Union Square East,",10003,10003,40.7317,-73.9891
X_10 UNION SQ ECHO_DEACTIVATED,"10 Union Square East, Suite 2B",10003,10003,40.7317,-73.9891
X_10 UNION SQ ENDO THYROID INS_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ ENDO WEIGHT MGT_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ GASTROENTEROLOGY_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ INFECTIOUS DISEASE,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ PHYSIATRY_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ SIGN LANGUAGE_DEACTIVATED,10 Union Square East,10003,10003,40.7317,-73.9891
X_10 UNION SQ VASC PROC_DEACTIVATED,"10 Union Square East, Suite 2B",10003,10003,40.7317,-73.9891
X_67 IRVING PLACE CARDIOLOGY_DEACTIVATED,67 IRVING PLACE,10003,10003,40.7317,-73.9891
X_281 1ST AVE DIABETES_DEACTIVATED,281 1ST AVE 4TH FLOOR,10003,10003,40.7317,-73.9891
X_281 1ST AVE GENERAL MED_DEACTIVATED,281 1ST AVE - 11TH FLOOR,10003,10003,40.7317,-73.9891
X_317 E 17TH ST PULMONARY_DEACTIVATED,317 EAST 17TH STREET,10003,10003,40.7317,-73.9891
X_317 E 17TH ST RHEUMATOLOGY_DEACTIVATED,317 EAST 17TH STREET,10003,10003,40.7317,-73.9891
X_317 E 17TH ST TESTING CENTER_DEACTIVATED,317 EAST 17TH STREET,10003,10003,40.7317,-73.9891
X_317 E 17TH ST WELLNESS PRACTICE_DEACTIVATED,317 EAST 17TH STREET,10003,10003,40.7317,-73.9891
X_340 E 17TH ST FAMILY PLANNING_DEACTIVATED,340 E 17th Street,10003,10003,40.7317,-73.9891
X_MSBI CATH LAB_DEACTIVATED,281 1st Ave,10003,10003,40.7317,-73.9891
X_MSBI FAMILY PLANNING OR_DEACTIVATED,340 E 17th Street,10003,10003,40.7317,-73.9891
X_NATHAN PEARLMAN DRIVE EVALUATION CENTER_DEACTIVATED,10 Nathan D Perlman Place,10003,10003,40.7317,-73.9891
10 UNION SQ E GERI HOME CERTS,10 Union Square E,10003-2925,10003,40.7317,-73.9891
281 1ST AVE OCCUPATIONAL HEALTH,"281 FIRST AVENUE,",10003-2925,10003,40.7317,-73.9891
281 1ST AVE PSYCH MCT,281 1ST AVE,10003-2925,10003,40.7317,-73.9891
340 E 17TH ST EHS,340 E 17TH ST,10003-2925,10003,40.7317,-73.9891
X_281 1ST AVE OCCUPATIONAL HEALTH_DEACTIVATED,"281 FIRST AVENUE,",10003-2925,10003,40.7317,-73.9891
X_281 1ST AVE PSYCH MCT_DEACTIVATED,281 1ST AVE,10003-2925,10003,40.7317,-73.9891
X_MSBI ECHO_DEACTIVATED,281 1st Ave,10003-2925,10003,40.7317,-73.9891
X_MSBI ECT_DEACTIVATED,281 1st Ave,10003-2925,10003,40.7317,-73.9891
X_MSBI EP LAB_DEACTIVATED,281 1st Ave,10003-2925,10003,40.7317,-73.9891
X_MSBI INTERVENTIONAL RADIOLOGY 2 FL_DEACTIVATED,281 1st Ave,10003-2925,10003,40.7317,-73.9891
X_MSBI INTERVENTIONAL RADIOLOGY_DEACTIVATED,281 1st Ave,10003-2925,10003,40.7317,-73.9891
X_MSBI NUCLEAR CARDIOLOGY_DEACTIVATED,281 1st Ave,10003-2925,10003,40.7317,-73.9891
X_281 1ST AVE CARDIOLOGY_DEACTIVATED,FIRST AVE AT 16TH STREET,10003-3105,10003,40.7317,-73.9891
 X_10 UNION SQ E TESTING CENTER_DEACTIVATED,10 Union Square E,10003-3314,10003,40.7317,-73.9891
10 UNION SQ ALLERGY,"10 Union Square East, 2nd Floor",10003-3314,10003,40.7317,-73.9891
10 UNION SQ E 3N LAB,10 Union Square E,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E COVID 19 COE,10 Union Square E,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E FINE NEEDLE ASPIRATION,"10 Union Square East, Suite 4B",10003-3314,10003,40.7317,-73.9891
10 UNION SQ E GERIATRICS,"10 Union Square E, Suite 3G",10003-3314,10003,40.7317,-73.9891
10 UNION SQ E HOME SLEEP STUDIES,10 UNION SQ E,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E NEUROSURGERY 5P,"10 Union Square East, Suite 5P",10003-3314,10003,40.7317,-73.9891
10 UNION SQ E OCCUPATIONAL THERAPY ORTHO,10 UNION SQ E,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E OPHTHALMOLOGY,"10 Union Square E, New York",10003-3314,10003,40.7317,-73.9891
10 UNION SQ E PEDS OCCUPATIONAL THERAPY,10 UNION SQ E,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E PEDS PHYSICAL THERAPY,10 Union Square,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E PEDS REHAB MEDICINE,10 Union Square,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E PRIMARY CARE,10 Union Square East,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E REHAB PERFORMANCE 360,10 UNION SQ E,10003-3314,10003,40.7317,-73.9891
10 UNION SQ E UROLOGY RAD,10 UNION SQ E # 3/3P,10003-3314,10003,40.7317,-73.9891
10 UNION SQ MOVEMENT DISORDER,"10 Union Square East, Suite 5H",10003-3314,10003,40.7317,-73.9891
10 UNION SQ NEPHROLOGY,10 Union Square East,10003-3314,10003,40.7317,-73.9891
10 UNION SQ NEUROLOGY,"10 Union Square East, Suite 5D",10003-3314,10003,40.7317,-73.9891
10 UNION SQ NEUROPSYCH,"10 Union Square East, Suite 5H",10003-3314,10003,40.7317,-73.9891
10 UNION SQ NEUROSURGERY,"10 Union Square East, Suite 5E",10003-3314,10003,40.7317,-73.9891
10 UNION SQ NUCLEAR CARDIOLOGY,10 Union Square East,10003-3314,10003,40.7317,-73.9891
10 UNION SQ PEDIATRIC NEUROLOGY,"10 Union Square East, Suite 5M",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ ALLERGY_DEACTIVATED,"10 Union Square East, 2nd Floor",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ E 3N LAB_DEACTIVATED,10 Union Square E,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ E COVID-19 CENTER OF EXCELLENCE_DEACTIVATED,10 Union Square E,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ E ENDOCRINOLOGY_DEACTIVATED,10 Union Sq E,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ E FINE NEEDLE ASPIRATION_DEACTIVATED,"10 Union Square East, Suite 4H",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ E GERIATRICS_DEACTIVATED,10 Union Square E,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ E  PRIMARY CARE_DEACTIVATED,10 Union Square East,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ E TESTING CENTER_DEACTIVATED,10 Union Square E,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ ENDO THYROID INS_DEACTIVATED,"10 Union Square East,",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ ENDO WEIGHT MGT_DEACTIVATED,10 Union Square East,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ MOVEMENT DISORDER_DEACTIVATED,"10 Union Square East, Suite 5H",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ NEPHROLOGY_DEACTIVATED,10 Union Square East,10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ NEUROLOGY_DEACTIVATED,"10 Union Square East, Suite 5D",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ NEUROPSYCH_DEACTIVATED,"10 Union Square East, Suite 5H",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ NEUROSURGERY 5P_DEACTIVATED,"10 Union Square East, Suite 5P",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ NEUROSURGERY_DEACTIVATED,"10 Union Square East, Suite 5E",10003-3314,10003,40.7317,-73.9891
X_10 UNION SQ PEDIATRIC NEUROLOGY_DEACTIVATED,"10 Union Square East, Suite 5G",10003-3314,10003,40.7317,-73.9891
317 E 17TH ST OCCUPATIONAL HEALTH,317 E 17TH ST,10003-3804,10003,40.7317,-73.9891
X_10 NATHAN PERL PL IOP_DEACTIVATED,10 Nathan D Perlman Place,10003-3841,10003,40.7317,-73.9891
MSBI CATH LAB,16th St  1st Ave,10003-3851,10003,40.7317,-73.9891
MSBI EP LAB,16th St  1st Ave,10003-3851,10003,40.7317,-73.9891
255 GREENWICH ST DERMATOLOGY,255 GREENWICH ST,10007,10007,40.7137,-74.0094
255 GREENWICH ST INTERNAL MEDICINE,255 GREENWICH ST,10007,10007,40.7137,-74.0094
255 GREENWICH ST OBGYN,255 GREENWICH ST,10007,10007,40.7137,-74.0094
255 GREENWICH ST ORTHOPEDICS,255 GREENWICH ST,10007,10007,40.7137,-74.0094
X_255 GREENWICH ST DERMATOLOGY_DEACTIVATED,255 GREENWICH ST,10007,10007,40.7137,-74.0094
X_255 GREENWICH ST INTERNAL MEDICINE_DEACTIVATED,255 GREENWICH ST,10007,10007,40.7137,-74.0094
X_255 GREENWICH ST OBGYN_DEACTIVATED,255 GREENWICH ST,10007,10007,40.7137,-74.0094
X_255 GREENWICH ST ORTHOPEDICS_DEACTIVATED,255 GREENWICH ST,10007,10007,40.7137,-74.0094
X_255 GREENWICH ST UROLOGY_DEACTIVATED,255 GREENWICH ST,10007,10007,40.7137,-74.0094
518 E 20TH CARDIOLOGY,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
518 E 20TH DERMATOLOGY,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
518 E 20TH FAMILY MED,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
518 E 20TH GASTROENTEROLOGY,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
518 E 20TH PODIATRY,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
X_518 E 20TH CARDIOLOGY_DEACTIVATED,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
X_518 E 20TH DERMATOLOGY_DEACTIVATED,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
X_518 E 20TH FAMILY MEDICINE_DEACTIVATED,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
X_518 E 20TH INTERNAL MEDICINE_DEACTIVATED,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
X_518 E 20TH ORTHOPEDICS_DEACTIVATED,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
X_518 E 20TH PODIATRY_DEACTIVATED,518 EAST 20TH STREET,10009-8330,10009,40.7265,-73.979
380 2ND AVE ENDOSCOPY,380 2ND AVENUE,10010,10010,40.7389,-73.9811
X_147 E 26TH ST CARDIOLOGY_DEACTIVATED,147 EAST 26TH STREET,10010,10010,40.7389,-73.9811
X_380 2ND AVE ENDOSCOPY_DEACTIVATED,380 2ND AVENUE,10010,10010,40.7389,-73.9811
138 E 26TH ST OCCUPATIONAL HEALTH,138 E 26TH ST,10010-1843,10010,40.7389,-73.9811
X_138 E 26TH ST OCCUPATIONAL HEALTH_DEACTIVATED,138 E 26TH ST,10010-1843,10010,40.7389,-73.9811
